intervention,eval_loops,native_perplexity,intervention_perplexity,delta_ppl,delta_percent
alternating_force_am,26,1126.2142322739273,1211.1281227368602,84.91389046293284,7.539763575131175
alternating_force_am,27,1128.2174883114455,1217.4585360318977,89.24104772045212,7.909915299577164
alternating_force_am,28,1129.6111683235797,1223.8844805173808,94.27331219380108,8.34564271648528
alternating_force_am,29,1131.7521364079244,1230.371329480052,98.6191930721277,8.713850842388137
alternating_force_am,30,1133.3285050557354,1236.9332567432198,103.6047516874844,9.14163468273388
alternating_force_am,31,1135.6026805828742,1243.5426329199627,107.93995233708847,9.505080798302256
alternating_force_am,32,1137.3704200598938,1250.1914983116023,112.82107825170851,9.919466539825027
alternating_force_ma,4,1143.44343454128,2092.522001196851,949.0785666555707,83.00179422835345
alternating_force_ma,5,1128.5333244354922,2138.203504374743,1009.6701799392506,89.46746702799418
alternating_force_ma,6,1122.2595894346812,2185.408461968577,1063.1488725338957,94.7328837768665
alternating_force_ma,7,1117.4339784505619,2233.054929879366,1115.620951428804,99.83775085985197
alternating_force_ma,8,1115.2312850209053,2280.132665458579,1164.9013804376739,104.45379322512798
alternating_force_ma,9,1113.7554989561293,2325.817253532491,1212.0617545763619,108.82655625156241
alternating_force_ma,10,1112.8424158322644,2369.470951065059,1256.6285352327948,112.9206181715312
alternating_force_ma,11,1112.7113543306195,2410.7070873836924,1297.9957330530729,116.65161211857283
alternating_force_ma,12,1112.3681206477745,2449.307801929885,1336.9396812821105,120.18860091959121
alternating_force_ma,13,1112.914585839999,2485.200349084255,1372.2857632442558,123.3055780474375
alternating_force_ma,14,1112.9161778782232,2518.409301077223,1405.493123199,126.28921666666533
alternating_force_ma,15,1113.8548153453319,2549.042194545162,1435.1873791998303,128.84869369217338
alternating_force_ma,16,1114.1214731964337,2577.266340149199,1463.1448669527654,131.32722976382257
alternating_force_ma,17,1115.3312648409405,2603.2135800453234,1487.8823152043828,133.4027263565119
alternating_force_ma,18,1115.822785319427,2627.1072894692534,1511.2845041498263,135.4412657666952
alternating_force_ma,19,1117.2277907011264,2649.130145308438,1531.9023546073115,137.11638462250858
alternating_force_ma,20,1117.9152311935966,2669.4556143538207,1551.540383160224,138.78873280075504
alternating_force_ma,21,1119.4888751224298,2688.2611138486545,1568.7722387262247,140.13290114693282
alternating_force_ma,22,1120.3555904072816,2705.705940925946,1585.3503505186643,141.50421206380946
alternating_force_ma,23,1122.0840788561206,2721.944961258612,1599.8608824024911,142.5794120555946
alternating_force_ma,24,1123.12952092314,2737.1209103768824,1613.9913894537424,143.70483184585385
alternating_force_ma,25,1124.9958545888014,2751.3277857981648,1626.3319312093633,144.56337101826975
alternating_force_ma,26,1126.2142322739273,2764.7118000947885,1638.4975678208611,145.48720135711548
alternating_force_ma,27,1128.2174883114455,2777.3608998816726,1649.143411570227,146.17247371678567
alternating_force_ma,28,1129.6111683235797,2789.357524337102,1659.7463560135222,146.93076720166457
alternating_force_ma,29,1131.7521364079244,2800.7915601429168,1669.0394237349924,147.4739362129563
alternating_force_ma,30,1133.3285050557354,2811.736118691686,1678.4076136359506,148.0954203612314
alternating_force_ma,31,1135.6026805828742,2822.244316914606,1686.6416363317317,148.52392171758737
alternating_force_ma,32,1137.3704200598938,2832.3784783973047,1695.0080583374108,149.02867425092273
alternating_reverse_parity,4,1143.44343454128,2045.7454254373706,902.3019908960905,78.91094247771606
alternating_reverse_parity,5,1128.5333244354922,2080.6144329094864,952.0811084739942,84.36446561737449
alternating_reverse_parity,6,1122.2595894346812,2092.810383025427,970.550793590746,86.48184455074643
alternating_reverse_parity,7,1117.4339784505619,2128.533358583388,1011.0993801328259,90.48403750303173
alternating_reverse_parity,8,1115.2312850209053,2136.119489999329,1020.8882049784236,91.5404919760018
alternating_reverse_parity,9,1113.7554989561293,2171.148418869842,1057.3929199137126,94.93941182824753
alternating_reverse_parity,10,1112.8424158322644,2173.5547166374367,1060.7123008051724,95.31558877650208
alternating_reverse_parity,11,1112.7113543306195,2206.629706986602,1093.9183526559823,98.3110622892904
alternating_reverse_parity,12,1112.3681206477745,2203.8368246532596,1091.468704005485,98.12117802961498
alternating_reverse_parity,13,1112.914585839999,2234.550414629496,1121.635828789497,100.78363991814481
alternating_reverse_parity,14,1112.9161778782232,2227.2199893217958,1114.3038114435726,100.12468446347818
alternating_reverse_parity,15,1113.8548153453319,2255.7938046162603,1141.9389892709285,102.52134959948881
alternating_reverse_parity,16,1114.1214731964337,2244.8552731313484,1130.7337999349147,101.49106961297676
alternating_reverse_parity,17,1115.3312648409405,2271.7935079759195,1156.462243134979,103.6877813426941
alternating_reverse_parity,18,1115.822785319427,2258.2260756061564,1142.4032902867293,102.38214394947072
alternating_reverse_parity,19,1117.2277907011264,2284.0490448969945,1166.821254195868,104.43897510494425
alternating_reverse_parity,20,1117.9152311935966,2268.6682430916394,1150.7530118980428,102.93741240732408
alternating_reverse_parity,21,1119.4888751224298,2293.805462047747,1174.316586925317,104.89756647174286
alternating_reverse_parity,22,1120.3555904072816,2277.2597826068386,1156.904192199557,103.26223228635732
alternating_reverse_parity,23,1122.0840788561206,2302.0058727779647,1179.921793921844,105.15449030563597
alternating_reverse_parity,24,1123.12952092314,2284.748366623624,1161.618845700484,103.42697116052193
alternating_reverse_parity,25,1124.9958545888014,2309.3478761984443,1184.3520216096429,105.27612317669713
alternating_reverse_parity,26,1126.2142322739273,2291.669227550852,1165.4549952769248,103.4843071485402
alternating_reverse_parity,27,1128.2174883114455,2316.259311008471,1188.0418226970253,105.30255336452159
alternating_reverse_parity,28,1129.6111683235797,2298.3743153994096,1168.76314707583,103.46596951678113
alternating_reverse_parity,29,1131.7521364079244,2323.0319149965635,1191.2797785886391,105.25977731923261
alternating_reverse_parity,30,1133.3285050557354,2305.0704434496315,1171.7419383938961,103.38943502848466
alternating_reverse_parity,31,1135.6026805828742,2329.84765167431,1194.2449710914357,105.16397957765138
alternating_reverse_parity,32,1137.3704200598938,2311.868757519677,1174.498337459783,103.26436460321644
